Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Argentina,2,Adidas,GK,23,"Sep 2, 1992",Aston Villa,Emiliano Martinez,7,0,0,0.00,0.00,0.00,0.65,46.67%,43%,Adidas
Argentina,2,Adidas,GK,1,"Oct 16, 1986",River,Franco Armani,0,-,-,-,-,-,-,-,-,Nike
Argentina,2,Adidas,GK,12,"May 20, 1992",Villarreal,Geronimo Rulli,0,-,-,-,-,-,-,-,-,Adidas
Argentina,2,Adidas,DF,19,"Feb 12, 1988",Benfica,Nicolas Otamendi,7,0,1,0.33,1.17,1.30,7.17,-,-,Nike
Argentina,2,Adidas,DF,8,"Oct 28, 1991",Sevilla,Marcos Acuna,6,0,0,1.45,0.48,2.90,7.97,-,-,Nike
Argentina,2,Adidas,DF,3,"Aug 31, 1992",Lyon,Nicolas Tagliafico,6,0,0,0.48,2.17,1.69,5.07,-,-,Nike
Argentina,2,Adidas,DF,6,"Jun 27, 1991",Real Betis,German Pezzella,3,0,0,0.00,0.00,0.00,3.16,-,-,Nike
Argentina,2,Adidas,DF,26,"Apr 6, 1998",Atletico Madrid,Nahuel Molina,7,1,1,0.32,0.47,1.42,1.58,-,-,Nike
Argentina,2,Adidas,DF,4,"Jan 1, 1997",Sevilla,Gonzalo Montiel,4,0,0,0.77,0.77,2.31,5.39,-,-,NIke
Argentina,2,Adidas,DF,2,"Jan 12, 1998",Villarreal,Juan Foyth,1,0,0,N.A,0.00,0.00,N.A,-,-,Adidas
Argentina,2,Adidas,DF,13,"Apr 27, 1998",Tottenham,Cristian Romero,7,0,0,0.16,0.49,0.82,5.09,-,-,Nike
Argentina,2,Adidas,DF,25,"Jan 18, 1998",Manchester United,Lisandro Martinez,5,0,0,0.30,0.90,1.50,4.19,-,-,Adidas
Argentina,2,Adidas,MF,5,"Jun 29, 1994",Juventus,Leandro Paredes,5,0,0,0.40,1.21,4.02,9.24,-,-,Nike
Argentina,2,Adidas,MF,7,"May 24, 1994",Atletico Madrid,Rodrigo De Paul,7,0,0,0.60,1.05,1.79,4.64,-,-,Adidas
Argentina,2,Adidas,MF,18,"Apr 12, 1994",Real Betis,Guido Rodriguez,1,0,0,0.00,0.00,3.16,6.32,-,-,Adidas
Argentina,2,Adidas,MF,14,"Oct 5, 1998",Bayer Leverkusen,Exequiel Palacios,3,0,0,0.00,3.83,1.91,7.66,-,-,Adidas
Argentina,2,Adidas,MF,20,"Dec 24, 1998",Brighton,Alexis Mac Allister,6,1,1,0.97,0.49,1.46,5.85,-,-,Adidas
Argentina,2,Adidas,MF,24,"Jan 17, 2001",Benfica,Enzo Fernandez,7,1,1,0.80,0.48,3.52,7.83,,-,Nike
Argentina,2,Adidas,MF,17,"Apr 26, 2001",Atlanta United,Alejandro Gomez,2,0,0,0.83,0.83,1.65,8.26,-,-,Adidas
Argentina,2,Adidas,FW,10,"Jun 24, 1987",PSG,Lionel Messi 🐐,7,7,3,3.78,0.00,0.65,6.39,-,-,Adidas
Argentina,2,Adidas,FW,22,"Aug 22, 1997",Inter,Lautaro Martinez,6,0,0,1.89,0.38,0.00,6.81,-,-,Nike
Argentina,2,Adidas,FW,21,"Nov 15, 1993",Roma,Paulo Dybala,2,0,0,5.62,0.00,N.A,N.A,-,-,Adidas
Argentina,2,Adidas,FW,16,"April 26, 2001",Inter,Thiago Almada,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Argentina,2,Adidas,FW,9,"Jan 31, 2000",Manchester City,Julian Alvarez,7,4,0,0.58,0.00,0.77,1.93,,-,Adidas
Argentina,2,Adidas,FW,11,"Feb 14, 1988",Juventus,Angel Di Maria,5,1,1,6.83,0.31,0.93,7.14,-,-,Adidas
Argentina,2,Adidas,FW,15,"March 9, 1995",Atletico Madrid,Angel Correa,1,0,0,0.00,0.00,N.A,N.A,-,-,Nike
France,3,Nike,GK,1,"Dec 26, 1986",Tottenham,Hugo Lloris,6,-,-,-,-,-,1.10,70.83%,17%,Nike
France,3,Nike,GK,23,"Feb 27, 1993",West Ham United,Alphonse Areola,-,-,-,-,-,-,-,-,-,Nike
France,3,Nike,GK,16,"Mar 28, 1985",Rennes,Steve Mandanda,1,-,-,-,-,-,0.00,66.67%,0%,Puma
France,3,Nike,DF,2,"Mar 28, 1996",Bayern Munich,Benjamin Pavard,1,0,0,0.00,1.01,0.00,0.00,-,-,Adidas
France,3,Nike,DF,5,"Nov 12, 1998",Barcelona,Jules Kounde,6,0,0,0.56,1.12,2.06,4.87,-,-,Adidas
France,3,Nike,DF,4,"Apr 25, 1993",Man Utd,Raphael Varane,6,0,0,0.17,1.04,0.17,1.90,-,-,Puma
France,3,Nike,DF,3,"Mar 11, 1998",PSG,Axel Disasi,3,0,0,2.00,2.00,4.00,14.00,-,-,Nike
France,3,Nike,DF,17,"Mar 24, 2001",Arsenal,William Saliba,1,0,0,3.33,0.00,0.00,6.67,-,-,Nike
France,3,Nike,DF,22,"Oct 6, 1994",AC Milan,Theo Hernandez,6,1,2,0.35,0.71,2.83,8.68,-,-,Nike
France,3,Nke,DF,21,"Feb 14, 1996",Bayern Munich,Lucas Hernandez,1,0,0,0.00,0.00,6.92,6.92,-,-,NIke
